timestamp tx ty tz qx qy qz qw
1683460034.2899046 0.2044 -5.4116 0.8999 0.0 0.0 0.0 0.0
1683460034.6259122 0.1647 -5.5448 0.9027 0.0 0.0 0.0 0.0
1683460034.945796 0.1334 -5.6481 0.9055 0.0 0.0 0.0 0.0
1683460035.2177496 0.1081 -5.7327 0.9056 0.0 0.0 0.0 0.0
1683460035.4577408 0.064 -5.8546 0.9145 0.0 0.0 0.0 0.0
1683460035.7137055 0.0353 -5.9282 0.9148 0.0 0.0 0.0 0.0
1683460035.9856477 0.0163 -6.0114 0.9166 0.0 0.0 0.0 0.0
1683460036.1776233 -0.0063 -6.0776 0.9186 0.0 0.0 0.0 0.0
1683460036.4496777 -0.0569 -6.2121 0.9224 0.0 0.0 0.0 0.0
1683460036.801643 -0.0813 -6.3233 0.918 0.0 0.0 0.0 0.0
1683460037.073629 -0.1021 -6.4136 0.9156 0.0 0.0 0.0 0.0
1683460037.39354 -0.111 -6.5075 0.9166 0.0 0.0 0.0 0.0
1683460037.6482365 -0.1047 -6.6279 0.9243 0.0 0.0 0.0 0.0
1683460038.0001576 -0.075 -6.7397 0.9233 0.0 0.0 0.0 0.0
1683460038.2881267 -0.0668 -6.7915 0.9256 0.0 0.0 0.0 0.0
1683460038.6890106 -0.0105 -7.0367 0.9244 0.0 0.0 0.0 0.0
1683460039.0409465 0.0184 -7.1144 0.9242 0.0 0.0 0.0 0.0
1683460039.3448956 0.0428 -7.2179 0.9243 0.0 0.0 0.0 0.0
1683460039.5523655 0.0689 -7.3172 0.9207 0.0 0.0 0.0 0.0
1683460039.8723516 0.0911 -7.3863 0.9185 0.0 0.0 0.0 0.0
1683460040.0802653 0.1044 -7.4695 0.9123 0.0 0.0 0.0 0.0
1683460040.3682775 0.1209 -7.5442 0.9129 0.0 0.0 0.0 0.0
1683460040.6882253 0.1469 -7.6656 0.9195 0.0 0.0 0.0 0.0
1683460040.9236195 0.1525 -7.7649 0.9236 0.0 0.0 0.0 0.0
1683460041.2275624 0.1407 -7.9454 0.9316 0.0 0.0 0.0 0.0
1683460041.4994974 0.1407 -7.9454 0.9316 0.0 0.0 0.0 0.0
1683460041.744659 0.1216 -8.0819 0.9367 0.0 0.0 0.0 0.0
1683460041.984557 0.1041 -8.1487 0.9343 0.0 0.0 0.0 0.0
1683460042.2405665 0.0959 -8.2274 0.9391 0.0 0.0 0.0 0.0
1683460042.496531 0.0647 -8.3344 0.9437 0.0 0.0 0.0 0.0
1683460042.656447 0.0647 -8.3344 0.9437 0.0 0.0 0.0 0.0
1683460042.9439886 0.024 -8.4806 0.9509 0.0 0.0 0.0 0.0
1683460043.2160032 -0.0112 -8.5493 0.9533 0.0 0.0 0.0 0.0
1683460043.4879138 -0.1017 -8.6285 0.9507 0.0 0.0 0.0 0.0
1683460043.7759037 -0.1586 -8.661 0.9535 0.0 0.0 0.0 0.0
1683460043.9842472 -0.2126 -8.6993 0.9511 0.0 0.0 0.0 0.0
1683460044.2721937 -0.3323 -8.7456 0.9548 0.0 0.0 0.0 0.0
1683460044.6081574 -0.4162 -8.7678 0.952 0.0 0.0 0.0 0.0
1683460044.9873812 -0.5195 -8.8083 0.9529 0.0 0.0 0.0 0.0
1683460045.2710247 -0.5914 -8.8203 0.9575 0.0 0.0 0.0 0.0
1683460045.5389378 -0.7511 -8.7894 0.9614 0.0 0.0 0.0 0.0
1683460045.8559644 -0.8199 -8.7721 0.9652 0.0 0.0 0.0 0.0
1683460046.2063313 -0.9344 -8.7414 0.9658 0.0 0.0 0.0 0.0
1683460046.4782813 -1.0321 -8.7121 0.9616 0.0 0.0 0.0 0.0
1683460046.7662902 -1.1502 -8.6861 0.9668 0.0 0.0 0.0 0.0
1683460047.0363674 -1.2849 -8.6494 0.971 0.0 0.0 0.0 0.0
1683460047.2763152 -1.2849 -8.6494 0.971 0.0 0.0 0.0 0.0
1683460047.5002604 -1.3932 -8.6172 0.9697 0.0 0.0 0.0 0.0
1683460047.8042011 -1.5138 -8.597 0.9776 0.0 0.0 0.0 0.0
1683460048.0619469 -1.59 -8.5777 0.9733 0.0 0.0 0.0 0.0
1683460048.333925 -1.6646 -8.5571 0.9669 0.0 0.0 0.0 0.0
1683460048.65385 -1.7413 -8.5427 0.9696 0.0 0.0 0.0 0.0
1683460048.9417913 -1.8985 -8.5036 0.9763 0.0 0.0 0.0 0.0
1683460049.2297692 -1.922 -8.4955 0.9706 0.0 0.0 0.0 0.0
1683460049.901665 -2.2347 -8.4126 0.946 0.0 0.0 0.0 0.0
1683460050.1896029 -2.2324 -8.413 0.9458 0.0 0.0 0.0 0.0
